#SampleID	 BarcodeSequence 	LinkerPrimerSequence	Sample_ID	Pen_ID	Trt	Pig_ID	Gender	Sample_type	Species	Inoc_ID	Diet	Inoc_ID_and_Diet	Average_Fecal_Score_Post_challenge	Necropsy_Colonization	Ileal_Histopath_attachment	Description
colonic108			C48	48	Y	475	G	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.00 	-	+	108
colonic109			C49	49	Y	452	B	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 1.57 	-	+	109
colonic110			C57	57	Y	448	B	Colonic digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 2.57 	+	-	110
colonic111			C13	13	Z	497	G	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.57 	+	-	111
colonic112			C14	14	Z	453	B	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 3.14 	+	+	112
colonic113			C21	21	Z	477	G	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.71 	+	+	113
colonic114			C22	22	Z	460	B	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.00 	-	-	114
colonic115			C35	35	Z	946	G	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.43 	-	-	115
colonic116			C42	42	Z	498	G	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 3.29 	+	+	116
colonic117			C43	43	Z	443	B	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.86 	+	+	117
colonic118			C54	54	Z	544	G	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.57 	-	-	118
colonic119			C55	55	Z	422	B	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 2.43 	+	+	119
colonic120			C59	59	Z	436	B	Colonic digesta	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE	 1.43 	+	+	120
feces121			F1	1	U	949	G	Feces	Porcine	Control	Basal	Control-Basal		-	-	121
feces122			F2	2	U	541	G	Feces	Porcine	Control	Basal	Control-Basal		-	-	122
feces123			F3	3	U	550	G	Feces	Porcine	Control	Basal	Control-Basal		-	-	123
feces124			F4	4	U	500	G	Feces	Porcine	Control	Basal	Control-Basal		-	-	124
feces125			F6	6	U	463	B	Feces	Porcine	Control	Basal	Control-Basal		-	-	125
feces127			F10	10	U	423	B	Feces	Porcine	Control	Basal	Control-Basal		-	-	127
feces128			F11	11	U1	950	G	Feces	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal		+	+	128
feces129			F12	12	U1	466	B	Feces	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal		+	-	129
feces130			F33	33	U1	947	G	Feces	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal		+	+	130
feces131			F40	40	U1	543	G	Feces	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal		+	-	131
feces132			F41	41	U1	462	B	Feces	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal		+	+	132
feces133			F47	47	U1	444	B	Feces	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal		+	+	133
feces134			F56	56	U1	458	B	Feces	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal		+	-	134
feces135			F20	20	W	472	B	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		+	+	135
feces136			F23	23	W	476	G	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		+	-	136
feces137			F24	24	W	471	B	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		+	-	137
feces138			F31	31	W	480	G	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		-	-	138
feces139			F36	36	W	481	G	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		-	-	139
feces140			F37	37	W	468	B	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		+	+	140
feces141			F53	53	W	474	B	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		+	-	141
feces142			F58	58	W	455	B	Feces	Porcine	F18 E. coli 	SF	F18 E. coli -SF		+	-	142
feces143			F15	15	X	450	B	Feces	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE		+	-	143
feces144			F29	29	X	547	G	Feces	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE		+	+	144
feces145			F30	30	X	465	B	Feces	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE		+	+	145
feces146			F32	32	X	478	G	Feces	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE		+	-	146
feces147			F50	50	X	494	G	Feces	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE		+	-	147
feces148			F60	60	X	447	B	Feces	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE		+	-	148
feces150			F28	28	Y	437	B	Feces	Porcine	F18 E. coli 	IF	F18 E. coli -IF		+	-	150
feces151			F34	34	Y	944	G	Feces	Porcine	F18 E. coli 	IF	F18 E. coli -IF		+	-	151
feces152			F44	44	Y	945	G	Feces	Porcine	F18 E. coli 	IF	F18 E. coli -IF		+	+	152
feces153			F45	45	Y	421	B	Feces	Porcine	F18 E. coli 	IF	F18 E. coli -IF		+	+	153
feces154			F48	48	Y	475	G	Feces	Porcine	F18 E. coli 	IF	F18 E. coli -IF		-	+	154
feces155			F57	57	Y	448	B	Feces	Porcine	F18 E. coli 	IF	F18 E. coli -IF		+	-	155
feces156			F13	13	Z	497	G	Feces	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE		+	-	156
feces157			F22	22	Z	460	B	Feces	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE		-	-	157
feces158			F42	42	Z	498	G	Feces	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE		+	+	158
feces159			F54	54	Z	544	G	Feces	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE		-	-	159
feces160			F55	55	Z	422	B	Feces	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE		+	+	160
feces161			F59	59	Z	436	B	Feces	Porcine	F18 E. coli 	IFE	F18 E. coli -IFE		+	+	161
